"","Start_Date","End_Date","Company","Lecture","Lecture_Comments","Responsive","Responsive_Comments","Student_Guide","Guide_Comment","Lab_Exercises","Lab_Comments","Classroom","Classroom_Comments","Computer","Computer_Comments","Network","Network_Comments","See_Hear","See_Hear_Comments","Years_Experience","Experience_Comments","IP_or_Telephony_Background","Background_Comments","Had_Knowledge_Skills","Knowledge_Skills_Comments","Metaswitch_Experience","Metaswitch_Exp_Comments","Attended__Appropriate_Time","Appropriate_Time_Comments","Learned_What_I_Needed","Learned_Comment","Recommend_Class","Recommend_Comments","Feedback","Instructor","Location","Course","Technical_Details"
"15","8/19/2016 6:28","8/19/2016 6:39","Clear Rate",40,"He made the material fun and worth paying attention to you.",40,"",40,"",40,"",40,"",40,"",30,"There were times when outages would occur but aside from that it was sufficient.","Strongly Agree","","Eleven to Twenty Years","","Both IP and Telephony","","Strongly Agree","","3 to 11 months","","Yes","","Strongly Agree","","Yes","","Have already offered opinions previously. Very good instructor, one of the best training sessions I have attended.","  Jake Livingstone         ","On-site at my Company Location ","System Overview "," Agree  "
"16","8/19/2016 6:28","8/19/2016 6:35","Clear Rate Communications",40,"",40,"",40,"",30,"",30,"",30,"",30,"","Agree","","Six to Ten Years","","Both IP and Telephony","","Strongly Agree","","Less than 3 months","","Yes","","Agree","","Yes","","","  Jake Livingstone         ","On-site at my Company Location ","System Overview "," Agree  "
"17","8/19/2016 6:28","8/19/2016 6:32","Clear Rate Communications",40,"",40,"",30,"",40,"",30,"",30,"",30,"","Agree","","Eleven to Twenty Years","","Both IP and Telephony","","Strongly Agree","","12 to 23 months","","Yes","","Strongly Agree","","Yes","","","  Jake Livingstone         ","On-site at my Company Location ","System Overview ","Strongly Agree   "
"18","8/19/2016 6:28","8/19/2016 6:35","Clear Rate Communications",40,"I was happy with Jake drawing out Diagrams on the whiteboard to get more granular with the more complicated concepts.",40,"Jake was very open to us asking questions and would do his best to answer them with examples, even if it got off of topic a little bit.",40,"",40,"",40,"",40,"",40,"","Strongly Agree","","One to Five Years","","IP","I am less versed in Telephony and Jake was happy to go over relevent concepts.","Strongly Agree","","Less than 3 months","","Yes","I have done a little bit in Meta Web prior to getting into this class so I had an idea of how to navigate but was not strong on the platform.","Strongly Agree","","Yes","","","  Jake Livingstone         ","On-site at my Company Location ","System Overview ","Strongly Agree   "
"19","8/19/2016 6:28","8/19/2016 6:34","Clear Rate Communications",40,"Couldn't be clearer",40,"He made sure every question of mine was answered and that I understood the material.",40,"",40,"Labs strengthened my skills",40,"",40,"",40,"","Strongly Agree","","One to Five Years","","IP","","Agree","","Less than 3 months","","Yes","","Strongly Agree","","Yes","","Metaswitch makes Teleco easy and Jake is an excellent CSE/Rep","  Jake Livingstone         ","On-site at my Company Location ","System Overview ","Strongly Agree   "
"20","8/19/2016 6:28","8/19/2016 6:38","Clear Rate Communications",40,"",40,"",40,"",40,"",40,"",40,"",40,"","Strongly Agree","","Eleven to Twenty Years","","Both IP and Telephony","","Strongly Agree","","12 to 23 months","","No","Earlier would have made sense, like just before or just after we bought it.  ","Strongly Agree","","Yes","","","  Jake Livingstone         ","On-site at my Company Location ","System Overview ","Strongly Agree   "
"21","8/19/2016 4:31","8/19/2016 4:42","Bluegrass Cellular",40,"Great speaker and communicator",40,"What questions I had were answered in a manner that promoted a better learning experience.",40,"",40,"Enjoyed them and learned more from them, then the class.  Again I am hands on",30,"",40,"",40,"","Strongly Agree","","Eleven to Twenty Years","","Telephony","","Agree","","Less than 3 months","","Yes","","Agree","","Yes","","none","    Dr. Michael Allen       ","On-site at my Company Location ","Perimeta SBC Deployment & Troubleshooting ","Strongly Agree   "
"22","8/19/2016 4:31","8/19/2016 4:38","Bluegrass Cellular",40,"He was excellent!",40,"",40,"",40,"",30,"",40,"",40,"","Strongly Agree","","Twenty One or More Years","37 Years","Telephony","","Agree","","Less than 3 months","","Yes","","Strongly Agree","","Yes","","Nope","    Dr. Michael Allen       ","On-site at my Company Location ","Perimeta SBC Deployment & Troubleshooting ","Strongly Agree   "
"23","8/19/2016 4:32","8/19/2016 4:40","Bluegrass Cellular",40,"",40,"",40,"",40,"",40,"",40,"",40,"","Strongly Agree","","Twenty One or More Years","","Both IP and Telephony","","Strongly Agree","","3 to 11 months","","Yes","","Strongly Agree","","Yes","","Great class..","    Dr. Michael Allen       ","On-site at my Company Location ","Perimeta SBC Deployment & Troubleshooting ","Strongly Agree   "
"24","8/19/2016 4:32","8/19/2016 4:39","Bluegrass Cellular",40,"",40,"",40,"",40,"",30,"We gathered a fan to help.",40,"",40,"","Strongly Agree","","One to Five Years","","Neither","","Strongly Agree","","3 to 11 months","","Yes","","Strongly Agree","","Yes","","","    Dr. Michael Allen       ","On-site at my Company Location ","Perimeta SBC Deployment & Troubleshooting ","Strongly Agree   "
